"realSum","room_type","room_shared","room_private","person_capacity","host_is_superhost","multi","biz","cleanliness_rating","guest_satisfaction_overall","bedrooms","dist","metro_dist","city","weekends"
344.480116232747,"Private room","False","True",2,"False",0,1,9,95,1,0.360490899742151,0.223520461945741,"Amsterdam",TRUE
817.144330138495,"Private room","False","True",4,"False",0,1,10,100,5,1.39555838427665,0.857218879974195,"Amsterdam",TRUE
420.406345933026,"Entire home/apt","False","False",2,"False",0,0,9,90,1,1.48338477006234,0.536218084101328,"Amsterdam",TRUE
255.66517470063,"Private room","False","True",2,"True",1,0,10,100,1,3.52868130244726,0.206182897520943,"Amsterdam",TRUE
798.865793358798,"Entire home/apt","False","False",4,"False",0,0,10,98,2,1.50590506052347,0.175812750204311,"Amsterdam",TRUE
368.617158390551,"Private room","False","True",4,"True",0,0,10,97,1,10.9070808958398,0.644974936830972,"Amsterdam",TRUE
848.077238534905,"Entire home/apt","False","False",4,"False",0,0,10,98,3,1.26730962369538,1.15798150310482,"Amsterdam",TRUE
768.167225177513,"Entire home/apt","False","False",4,"False",0,0,9,93,2,2.37632839195777,0.213720707682515,"Amsterdam",TRUE
469.617791109132,"Private room","False","True",2,"True",1,0,10,98,1,0.975064909805429,1.10500244170449,"Amsterdam",TRUE
613.268342980339,"Entire home/apt","False","False",4,"False",1,0,9,84,1,0.227261771501336,0.459806404071395,"Amsterdam",TRUE
249.572329107398,"Private room","False","True",2,"True",0,0,10,98,1,5.83941415576267,3.83305658270712,"Amsterdam",TRUE
430.248634968247,"Entire home/apt","False","False",2,"False",0,0,10,97,1,3.02953810474062,0.911223721457223,"Amsterdam",TRUE
403.065170013826,"Entire home/apt","False","False",2,"True",0,0,10,97,1,2.8044099888576,1.70590212619214,"Amsterdam",TRUE
442.668666369836,"Private room","False","True",2,"False",0,0,9,84,1,0.493141709546873,0.122273225063458,"Amsterdam",TRUE
977.433037283528,"Entire home/apt","False","False",4,"False",1,0,9,93,2,0.699256631468643,0.608605097181752,"Amsterdam",TRUE
522.344339512104,"Entire home/apt","False","False",2,"True",0,0,9,96,2,3.84507381278886,0.696826279340691,"Amsterdam",TRUE
1179.90298315094,"Entire home/apt","False","False",4,"False",1,0,10,99,3,1.50272279129314,0.212069150248835,"Amsterdam",TRUE
583.741475874675,"Entire home/apt","False","False",2,"True",0,0,10,99,1,2.57283007675011,1.47243449751336,"Amsterdam",TRUE
374.944344198908,"Private room","False","True",4,"False",0,1,6,88,1,0.944510188395887,0.72710266557448,"Amsterdam",TRUE
372.366601832541,"Private room","False","True",2,"False",0,0,10,97,1,3.89326198668572,0.657429832891999,"Amsterdam",TRUE
479.225739929229,"Shared room","True","False",2,"True",0,0,10,96,1,1.37726223054926,0.0779095347866674,"Amsterdam",TRUE
454.8543575563,"Entire home/apt","False","False",2,"True",0,0,10,98,1,2.28497311336327,1.82753897579777,"Amsterdam",TRUE
